iter	Passed	Remaining
419	2508	3464
420	2512	3455
421	2517	3447
422	2522	3440
423	2526	3432
424	2531	3424
425	2535	3416
426	2540	3408
427	2544	3401
428	2549	3393
429	2554	3386
430	2558	3378
431	2563	3369
432	2567	3362
433	2571	3353
434	2576	3346
435	2580	3337
436	2585	3330
437	2589	3322
438	2594	3315
439	2599	3308
440	2603	3300
441	2608	3292
442	2612	3284
443	2617	3277
444	2622	3270
445	2626	3263
446	2631	3255
447	2635	3247
448	2640	3239
449	2644	3232
450	2650	3225
451	2654	3217
452	2658	3210
453	2662	3201
454	2667	3195
455	2672	3188
456	2677	3181
457	2683	3175
458	2688	3169
459	2693	3162
460	2700	3156
461	2705	3150
462	2710	3143
463	2714	3135
464	2719	3128
465	2723	3120
466	2727	3113
467	2732	3106
468	2737	3098
469	2741	3091
470	2745	3083
471	2750	3077
472	2755	3070
473	2760	3063
474	2764	3056
475	2769	3048
476	2773	3041
477	2778	3034
478	2783	3027
479	2787	3019
480	2791	3012
481	2795	3004
482	2801	2998
483	2806	2991
484	2810	2984
485	2814	2976
486	2819	2970
487	2824	2963
488	2829	2957
489	2834	2949
490	2838	2942
491	2842	2934
492	2846	2927
493	2851	2920
494	2856	2913
495	2861	2907
496	2866	2900
497	2870	2893
498	2874	2886
499	2879	2879
500	2884	2872
501	2889	2866
502	2893	2858
503	2898	2852
504	2903	2845
505	2907	2838
506	2912	2832
507	2917	2825
508	2921	2818
509	2926	2812
510	2932	2806
511	2937	2799
512	2942	2793
513	2946	2786
514	2951	2779
515	2956	2772
516	2960	2766
517	2966	2759
518	2970	2753
519	2975	2746
520	2979	2739
521	2984	2733
522	2988	2725
523	2992	2718
524	2998	2712
525	3002	2705
526	3007	2699
527	3012	2692
528	3016	2685
529	3021	2679
530	3025	2672
531	3030	2666
532	3035	2659
533	3039	2652
534	3044	2645
535	3048	2639
536	3053	2632
537	3058	2626
538	3062	2619
539	3066	2612
540	3071	2605
541	3075	2599
542	3080	2592
543	3084	2585
544	3089	2579
545	3094	2572
546	3098	2566
547	3104	2560
548	3108	2553
549	3112	2546
550	3117	2540
551	3122	2533
552	3127	2527
553	3131	2521
554	3135	2514
555	3140	2507
556	3144	2500
557	3148	2494
558	3152	2487
559	3157	2480
560	3162	2474
561	3167	2468
562	3171	2461
563	3175	2454
564	3180	2448
565	3184	2442
566	3189	2435
567	3194	2429
568	3198	2422
569	3203	2416
570	3207	2409
571	3211	2403
572	3216	2397
573	3221	2390
574	3226	2384
575	3230	2377
576	3234	2371
577	3239	2364
578	3244	2359
579	3249	2353
580	3253	2346
581	3258	2339
582	3262	2333
583	3267	2327
584	3271	2321
585	3276	2314
586	3280	2308
587	3284	2301
588	3289	2295
589	3294	2289
590	3298	2282
591	3303	2276
592	3308	2270
593	3312	2264
594	3317	2257
595	3321	2251
596	3326	2245
597	3331	2239
598	3335	2233
599	3340	2226
600	3344	2220
601	3348	2213
602	3353	2207
603	3357	2201
604	3362	2195
605	3367	2189
606	3372	2183
607	3376	2176
608	3380	2170
609	3385	2164
610	3390	2158
611	3395	2152
612	3399	2146
613	3404	2140
614	3408	2133
615	3412	2127
616	3416	2121
617	3421	2115
618	3426	2108
619	3430	2102
620	3435	2096
621	3439	2090
622	3444	2084
623	3449	2078
624	3453	2072
625	3457	2065
626	3462	2059
627	3466	2053
628	3471	2047
629	3475	2041
630	3479	2034
631	3483	2028
632	3488	2022
633	3493	2016
634	3497	2010
635	3502	2004
636	3507	1998
637	3511	1992
638	3515	1986
639	3520	1980
640	3525	1974
641	3529	1968
642	3534	1962
643	3538	1956
644	3543	1950
645	3548	1944
646	3552	1938
647	3556	1931
648	3560	1925
649	3564	1919
650	3569	1913
651	3573	1907
652	3578	1901
653	3583	1895
654	3588	1889
655	3592	1883
656	3597	1877
657	3601	1871
658	3605	1865
659	3610	1859
660	3615	1854
661	3620	1848
662	3624	1842
663	3629	1836
664	3633	1830
665	3638	1824
666	3642	1818
667	3646	1812
668	3651	1806
669	3656	1800
670	3660	1794
671	3665	1788
672	3669	1783
673	3674	1777
674	3679	1771
675	3683	1765
676	3688	1759
677	3692	1753
678	3696	1747
679	3701	1741
680	3706	1736
681	3710	1730
682	3715	1724
683	3720	1718
684	3724	1712
685	3729	1706
686	3733	1700
687	3737	1694
688	3741	1688
689	3746	1683
690	3751	1677
691	3755	1671
692	3759	1665
693	3764	1659
694	3768	1653
695	3773	1648
696	3777	1642
697	3782	1636
698	3787	1630
699	3792	1625
700	3796	1619
701	3800	1613
702	3805	1607
703	3809	1601
704	3813	1595
705	3818	1590
706	3823	1584
707	3828	1578
708	3832	1573
709	3837	1567
710	3841	1561
711	3846	1556
712	3851	1550
713	3856	1544
714	3860	1538
715	3865	1533
716	3870	1527
717	3875	1522
718	3880	1516
719	3885	1511
720	3891	1505
721	3896	1500
722	3901	1494
723	3906	1489
724	3911	1483
725	3916	1478
726	3921	1472
727	3926	1467
728	3931	1461
729	3937	1456
730	3942	1450
731	3947	1445
732	3952	1439
733	3957	1434
734	3961	1428
735	3966	1422
736	3971	1417
737	3976	1411
738	3982	1406
739	3986	1400
740	3991	1394
741	3995	1389
742	4000	1383
743	4005	1378
744	4010	1372
745	4015	1367
746	4020	1361
747	4025	1356
748	4030	1350
749	4035	1345
750	4039	1339
751	4044	1333
752	4050	1328
753	4054	1322
754	4059	1317
755	4064	1311
756	4068	1306
757	4073	1300
758	4078	1294
759	4082	1289
760	4087	1283
761	4091	1278
762	4096	1272
763	4101	1266
764	4106	1261
765	4111	1256
766	4116	1250
767	4120	1244
768	4125	1239
769	4129	1233
770	4134	1227
771	4138	1222
772	4143	1216
773	4148	1211
774	4152	1205
775	4156	1199
776	4160	1194
777	4165	1188
778	4170	1183
779	4175	1177
780	4179	1172
781	4184	1166
782	4188	1160
783	4193	1155
784	4198	1149
785	4202	1144
786	4206	1138
787	4210	1132
788	4215	1127
789	4220	1121
790	4225	1116
791	4229	1110
792	4233	1105
793	4238	1099
794	4242	1093
795	4247	1088
796	4252	1083
797	4257	1077
798	4261	1072
799	4265	1066
800	4270	1060
801	4274	1055
802	4279	1049
803	4284	1044
804	4288	1038
805	4292	1033
806	4297	1027
807	4301	1022
808	4306	1016
809	4310	1011
810	4315	1005
811	4319	1000
812	4324	994
813	4329	989
814	4334	983
815	4339	978
816	4343	972
817	4347	967
818	4352	961
819	4356	956
820	4361	950
821	4366	945
822	4370	940
823	4375	934
824	4379	929
825	4383	923
826	4388	918
827	4392	912
828	4397	907
829	4401	901
830	4406	896
831	4411	890
832	4416	885
833	4421	880
834	4426	874
835	4431	869
836	4435	863
837	4440	858
838	4444	852
839	4448	847
840	4453	841
841	4457	836
842	4462	831
843	4467	825
844	4472	820
845	4476	814
846	4481	809
847	4485	803
848	4489	798
849	4493	793
850	4498	787
851	4502	782
852	4507	776
853	4512	771
854	4517	766
855	4521	760
856	4526	755
857	4531	749
858	4535	744
859	4540	739
860	4545	733
861	4549	728
862	4554	722
863	4559	717
864	4564	712
865	4568	706
866	4573	701
867	4577	696
868	4582	690
869	4586	685
870	4591	679
871	4595	674
872	4599	669
873	4604	663
874	4609	658
875	4614	653
876	4618	647
877	4623	642
878	4628	637
879	4633	631
880	4637	626
881	4642	621
882	4646	615
883	4651	610
884	4655	604
885	4660	599
886	4664	594
887	4669	588
888	4673	583
889	4678	578
890	4682	572
891	4686	567
892	4691	562
893	4695	556
894	4699	551
895	4703	545
896	4709	540
897	4714	535
898	4718	530
899	4722	524
900	4727	519
901	4731	514
902	4735	508
903	4740	503
904	4744	498
905	4749	492
